channel_id,tags,channel_title,profile_picture,list_id,view_count
UC_a1J_HC8REyKltHyiR7wxA,"[Só na Conversa,React,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror,VRChat,Karaoke]",Moshi,https://yt3.ggpht.com/yltwRf4tneQwy4_O4nCGap6oew8lW1GYFhjRXCQS6gu_4cy0UyCx_HVpnZe9g3E7lF2ny_jLvX4=s240-c-k-c0x00ffffff-no-rj,UU_a1J_HC8REyKltHyiR7wxA,448639
UC_J9pICyVljKjmMi-rUHRFA,"[Só na Conversa,React,Podcast,Cozy,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,Roblox,Karaoke]",Honey Beaufort,https://yt3.ggpht.com/RkL6_CeBg2ZgOGYvFxcOgg3BZDJB4UgH3h5uecT9TM2mBPEWiYq7Gor8bQk-tSkdAMit9_44Cg=s240-c-k-c0x00ffffff-no-rj,UU_J9pICyVljKjmMi-rUHRFA,29006
UC_lJSM__OZqplbxGTyNqcWA,"[Só na Conversa,React,Cozy,Jogos Comfy,Jogos Competitivos,Jogos Indies,Minecraft,Roblox,Karaoke,Arte]",Emilly Michalskii,https://yt3.ggpht.com/Rf46Tg4n4wbPJy-kCaYNZBBeLxKc-H4H8p7lMTgKOyq4nT8QYeLcw8wlUidKufrRs3IiyAZZEQ=s240-c-k-c0x00ffffff-no-rj,UU_lJSM__OZqplbxGTyNqcWA,31444
UC-1abAA6KVJdPYLD8HnJmgw,"[Só na Conversa,Roleplay,Cozy,Jogos Indies,Jogos de Terror,Minecraft,Roblox,Karaoke,Arte]",MiukyMeiryn,https://yt3.ggpht.com/VL-6J9GbG9M_6gZ6K6aAP1HWOww_6EAoOpqKOMYWGtxpsGPoZIpZZn2mHlfdlHr_i_DvG2h26x4=s240-c-k-c0x00ffffff-no-rj,UU-1abAA6KVJdPYLD8HnJmgw,175170
UC-6fElWr8VUZdWQP0v9gLYg,"[Só na Conversa,React,Roleplay,Cozy,Adulto,Jogos Comfy,Jogos Hardcore,Jogos Indies,Jogos de Terror,Roblox]",Rkita,https://yt3.ggpht.com/z8pr07u_qJsWoGZh47u3xokulEyCOjTRYpPrW1azvB18cpDPB0_VcRV-AxuzSF3bNyQZ2lpGGg=s240-c-k-c0x00ffffff-no-rj,UU-6fElWr8VUZdWQP0v9gLYg,69687
UC0lRsG6-_GWSz0oj5Yo7RZQ,"[Só na Conversa,Cozy,Jogos Comfy,Jogos Indies]",beezedim,https://yt3.ggpht.com/UycPAfsmqApMt2zC1HR3EhlVu8AVz23PI1DYG46kuerZOKh7tWnlcyJEk74l5lDe-ggjipI7=s240-c-k-c0x00ffffff-no-rj,UU0lRsG6-_GWSz0oj5Yo7RZQ,94969
UC0p-FI_Bb5935g4cCiaxzww,"[Só na Conversa,React,Jogos Indies,Roblox,VRChat,Karaoke,Arte]",Alineihgena,https://yt3.ggpht.com/KGdEdcg6TynwpUhGnnWu5M41xefOfqkfdDDR0wSoeLV9gWuKpm1vPizlJN_GEjKhcnZFLLow=s240-c-k-c0x00ffffff-no-rj,UU0p-FI_Bb5935g4cCiaxzww,2096361
UC0p2i2o4_AysNzqexcq19Tw,"[Só na Conversa,Adulto,GFE,Jogos Comfy,Jogos Hardcore,Jogos Indies,Jogos de Terror]",VampireAdros,https://yt3.ggpht.com/Ci_lSnMxLM0uZKf946oy7aGkycXUBJ43H6JK90qxCCaVZBM4gOEqIgXnKwGGmfZjBqOJPIJVgQ=s240-c-k-c0x00ffffff-no-rj,UU0p2i2o4_AysNzqexcq19Tw,66149
UC0sC2Ho7nj08LY2Oa39LTrQ,"[Só na Conversa,Opinião,React,Roleplay,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,Roblox,VRChat,Karaoke,ASMR]",Little Barra 🕷️ BNB | Vtuber,https://yt3.ggpht.com/pjbB3bDwX6_4ArGA5eiFneKXAP2ZRc__z7BvKTSv62EnpKUH2ggIkDLXa-nvCbsVCWhcr2G96Q=s240-c-k-c0x00ffffff-no-rj,UU0sC2Ho7nj08LY2Oa39LTrQ,198182
UC11zKcFjjj1SvNW8AxBqR0A,"[Só na Conversa,React,Jogos Indies,Jogos de Terror,Arte]",RLeona_Art,https://yt3.ggpht.com/G0adCsmxkNm6Gz9VsOViHB8nb3dC1IqYtsVG_0zJ9kWvvko6wqw--Xe7EJrLr-lK6wXdmzT5Lg=s240-c-k-c0x00ffffff-no-rj,UU11zKcFjjj1SvNW8AxBqR0A,8938
